PLOSPaperID,round,decision_date,response_date,duration_days,stage_type
pone.0226426,0,2019-10-29,2019-11-01,3,author_revision
pone.0226426,1,2019-11-14,2019-11-25,11,author_revision
pone.0226427,0,2019-09-30,2019-11-16,47,author_revision
pone.0226428,0,2019-09-26,2019-11-12,47,author_revision
pone.0226435,0,2019-10-10,2019-11-08,29,author_revision
pone.0226436,0,2019-10-04,2019-11-11,38,author_revision
pone.0226440,0,2019-09-18,2019-09-27,9,author_revision
pone.0226440,1,2019-11-08,2019-11-13,5,author_revision
pone.0226442,0,2019-09-30,2019-11-12,43,author_revision
pone.0226448,0,2020-01-02,2020-02-18,47,author_revision
pone.0226450,0,2020-02-04,2020-03-13,38,author_revision
pone.0226450,1,2020-06-01,2020-07-28,57,author_revision
pone.0226452,0,2019-12-27,2020-02-07,42,author_revision
pone.0226452,1,2020-02-26,2020-03-03,6,author_revision
pone.0226453,0,2020-01-22,2020-03-10,48,author_revision
pone.0226453,1,2020-03-27,2020-04-01,5,author_revision
pone.0226461,0,2020-02-13,2020-03-31,47,author_revision
pone.0226467,0,2020-01-14,2020-01-27,13,author_revision
pone.0226472,0,2019-12-24,2020-02-28,66,author_revision
pone.0226472,1,2020-04-10,2020-04-14,4,author_revision
pone.0226474,0,2019-10-16,2019-11-08,23,author_revision
pone.0226496,0,2019-10-03,2019-11-04,32,author_revision
pone.0226502,0,2019-09-03,2019-10-17,44,author_revision
pone.0226508,0,2019-09-27,2019-10-29,32,author_revision
pone.0226508,1,2019-11-20,2019-11-26,6,author_revision
pone.0226509,0,2019-08-19,2019-11-05,78,author_revision
pone.0226509,1,2019-11-15,2019-11-26,11,author_revision
pone.0226514,0,2019-09-26,2019-11-11,46,author_revision
pone.0226518,0,2019-10-23,2019-11-19,27,author_revision
pone.0226521,0,2019-10-01,2019-10-22,21,author_revision
pone.0226524,0,2019-09-30,2019-11-14,45,author_revision
pone.0226526,0,2019-09-03,2019-11-12,70,author_revision
pone.0226526,1,2019-11-21,2019-11-28,7,author_revision
pone.0226527,0,2019-07-29,2019-09-12,45,author_revision
pone.0226527,1,2019-10-28,2019-11-27,30,author_revision
pone.0226528,0,2019-09-16,2019-11-28,73,author_revision
pone.0226532,0,2020-02-27,2020-04-14,47,author_revision
pone.0226532,1,2020-05-08,2020-06-15,38,author_revision
pone.0226537,0,2020-01-27,2020-03-05,38,author_revision
pone.0226537,1,2020-03-23,2020-03-31,8,author_revision
pone.0226547,0,2019-09-18,2019-11-15,58,author_revision
pone.0226548,0,2019-09-03,2019-10-01,28,author_revision
pone.0226548,1,2019-10-25,2019-11-13,19,author_revision
pone.0226551,0,2019-11-13,2019-11-26,13,author_revision
pone.0226557,0,2019-10-25,2019-11-19,25,author_revision
pone.0226573,0,2019-10-17,2019-11-12,26,author_revision
pone.0226575,0,2019-09-10,2019-09-30,20,author_revision
pone.0226575,1,2019-11-20,2019-11-25,5,author_revision
pone.0226581,0,2019-10-03,2019-10-24,21,author_revision
pone.0226598,0,2019-07-05,2019-09-04,61,author_revision
pone.0226598,1,2019-10-09,2019-11-16,38,author_revision
pone.0226616,0,2019-08-21,2019-10-30,70,author_revision
pone.0226616,1,2019-11-21,2019-11-26,5,author_revision
pone.0226625,0,2019-08-10,2019-11-04,86,author_revision
pone.0226625,1,2019-11-08,2019-11-29,21,author_revision
pone.0226627,0,2019-09-13,2019-10-20,37,author_revision
pone.0226630,0,2019-10-28,2019-11-07,10,author_revision
pone.0226632,0,2019-09-03,2019-10-02,29,author_revision
pone.0226632,1,2019-10-31,2019-11-18,18,author_revision
pone.0226633,0,2019-07-23,2019-09-15,54,author_revision
pone.0226633,1,2019-10-03,2019-10-14,11,author_revision
pone.0226633,2,2019-10-21,2019-11-27,37,author_revision
pone.0226634,0,2019-06-21,2019-08-05,45,author_revision
pone.0226634,1,2019-10-21,2019-11-06,16,author_revision
pone.0226645,0,2019-08-06,2019-11-18,104,author_revision
pone.0226647,0,2019-08-28,2019-11-08,72,author_revision
pone.0226647,1,2019-11-12,2019-11-27,15,author_revision
pone.0226648,0,2019-10-09,2019-10-24,15,author_revision
pone.0226657,0,2020-01-09,2020-03-27,78,author_revision
pone.0226661,0,2020-01-27,2020-02-20,24,author_revision
pone.0226666,0,2019-10-17,2019-11-28,42,author_revision
pone.0226674,0,2019-11-01,2019-11-27,26,author_revision
pone.0226677,0,2019-10-17,2019-12-01,45,author_revision
pone.0226685,0,2019-07-25,2019-10-08,75,author_revision
pone.0226685,1,2019-11-19,2019-11-27,8,author_revision
pone.0226691,0,2019-08-01,2019-09-10,40,author_revision
pone.0226691,1,2019-10-04,2019-12-02,59,author_revision
pone.0226707,0,2019-10-03,2019-11-25,53,author_revision
pone.0226708,0,2019-07-26,2019-09-13,49,author_revision
pone.0226708,1,2019-11-04,2019-11-28,24,author_revision
pone.0226709,0,2019-09-18,2019-11-07,50,author_revision
pone.0226709,1,2019-11-26,2019-11-29,3,author_revision
pone.0226710,0,2019-10-18,2019-10-27,9,author_revision
pone.0226710,1,2019-11-26,2019-11-29,3,author_revision
pone.0226711,0,2019-09-10,2019-10-17,37,author_revision
pone.0226717,0,2019-11-06,2019-11-10,4,author_revision
pone.0226720,0,2019-10-07,2019-11-19,43,author_revision
pone.0226722,0,2020-02-13,2020-04-16,63,author_revision
pone.0226728,0,2019-10-07,2019-11-20,44,author_revision
pone.0226732,0,2019-10-25,2019-11-12,18,author_revision
pone.0226737,0,2019-08-09,2019-09-06,28,author_revision
pone.0226737,1,2019-11-19,2019-11-25,6,author_revision
pone.0226747,0,2019-10-15,2019-10-23,8,author_revision
pone.0226747,1,2019-11-12,2019-11-21,9,author_revision
pone.0226754,0,2019-08-14,2019-09-18,35,author_revision
pone.0226754,1,2019-11-12,2019-11-29,17,author_revision
pone.0226761,0,2019-10-16,2019-11-29,44,author_revision
pone.0226762,0,2019-08-01,2019-09-06,36,author_revision
pone.0226762,1,2019-11-19,2019-11-30,11,author_revision
pone.0226769,0,2019-09-04,2019-11-13,70,author_revision
pone.0226774,0,2019-10-30,2019-11-12,13,author_revision
pone.0226774,1,2019-11-28,2019-12-01,3,author_revision
pone.0226775,0,2019-11-14,2019-11-27,13,author_revision
pone.0226777,0,2019-09-12,2019-10-26,44,author_revision
pone.0226777,1,2019-11-11,2019-11-22,11,author_revision
pone.0226780,0,2019-10-10,2019-11-15,36,author_revision
pone.0226784,0,2019-10-23,2019-11-08,16,author_revision
pone.0226789,0,2020-01-03,2020-02-14,42,author_revision
pone.0226790,0,2020-01-27,2020-02-13,17,author_revision
pone.0226790,1,2020-03-05,2020-03-18,13,author_revision
pone.0226792,0,2020-01-10,2020-03-09,59,author_revision
pone.0226809,0,2019-09-05,2019-10-14,39,author_revision
pone.0226828,0,2019-09-26,2019-11-01,36,author_revision
pone.0226829,0,2019-10-01,2019-10-29,28,author_revision
pone.0226832,0,2019-07-25,2019-08-21,27,author_revision
pone.0226832,1,2019-09-23,2019-10-02,9,author_revision
pone.0226832,2,2019-11-27,2019-12-02,5,author_revision
pone.0226833,0,2019-08-15,2019-11-01,78,author_revision
pone.0226840,0,2019-10-01,2019-11-22,52,author_revision
pone.0226842,0,2019-09-09,2019-10-15,36,author_revision
pone.0226842,1,2019-10-25,2019-11-09,15,author_revision
pone.0226842,2,2019-11-25,2019-12-03,8,author_revision
pone.0226843,0,2019-11-06,2019-11-22,16,author_revision
pone.0226857,0,2019-09-20,2019-11-06,47,author_revision
pone.0226858,0,2020-02-04,2020-02-27,23,author_revision
pone.0226860,0,2019-12-20,2020-01-29,40,author_revision
pone.0226861,0,2020-02-24,2020-03-27,32,author_revision
pone.0226861,1,2020-07-21,2020-07-30,9,author_revision
pone.0226861,2,2020-09-16,2020-09-27,11,author_revision
pone.0226863,0,2020-01-02,2020-02-21,50,author_revision
pone.0226863,1,2020-03-02,2020-03-13,11,author_revision
pone.0226865,0,2019-09-09,2019-10-24,45,author_revision
pone.0226869,0,2019-10-15,2019-11-21,37,author_revision
pone.0226871,0,2019-10-11,2019-12-05,55,author_revision
pone.0226875,0,2019-11-06,2019-12-01,25,author_revision
pone.0226885,0,2019-10-18,2019-12-02,45,author_revision
pone.0226904,0,2019-10-08,2019-11-18,41,author_revision
pone.0226905,0,2019-08-19,2019-10-02,44,author_revision
pone.0226905,1,2019-11-28,2019-12-05,7,author_revision
pone.0226906,0,2019-11-29,2019-12-01,2,author_revision
pone.0226908,0,2019-10-09,2019-10-28,19,author_revision
pone.0226909,0,2019-08-09,2019-09-29,51,author_revision
pone.0226909,1,2019-11-11,2019-11-19,8,author_revision
pone.0226911,0,2019-08-30,2019-09-18,19,author_revision
pone.0226911,1,2019-10-31,2019-11-06,6,author_revision
pone.0226917,0,2019-09-02,2019-10-31,59,author_revision
pone.0226921,0,2019-09-24,2019-11-06,43,author_revision
pone.0226921,1,2019-12-02,2019-12-04,2,author_revision
pone.0226925,0,2019-09-26,2019-11-07,42,author_revision
pone.0226925,1,2019-11-14,2019-11-27,13,author_revision
pone.0226927,0,2019-09-02,2019-10-04,32,author_revision
pone.0226927,1,2019-10-23,2019-11-04,12,author_revision
pone.0226927,2,2019-11-19,2019-11-26,7,author_revision
pone.0226927,3,2019-12-04,2019-12-05,1,author_revision
pone.0226931,0,2019-10-01,2019-12-05,65,author_revision
pone.0226934,0,2020-02-13,2020-03-19,35,author_revision
pone.0226934,1,2020-05-07,2020-06-16,40,author_revision
pone.0226934,2,2020-06-19,2020-06-22,3,author_revision
pone.0226952,0,2019-10-04,2019-11-18,45,author_revision
pone.0226954,0,2019-07-24,2019-10-14,82,author_revision
pone.0226954,1,2019-10-29,2019-12-05,37,author_revision
pone.0226955,0,2019-11-06,2019-11-29,23,author_revision
pone.0226956,0,2019-10-09,2019-10-17,8,author_revision
pone.0226956,1,2019-11-25,2019-11-27,2,author_revision
pone.0226960,0,2019-08-06,2019-09-19,44,author_revision
pone.0226960,1,2019-10-15,2019-11-27,43,author_revision
pone.0226962,0,2019-09-24,2019-11-09,46,author_revision
pone.0226985,0,2019-11-25,2019-12-05,10,author_revision
pone.0226986,0,2019-12-04,2019-12-05,1,author_revision
pone.0226988,0,2019-11-13,2019-11-18,5,author_revision
pone.0226996,0,2019-10-10,2019-11-26,47,author_revision
pone.0226999,0,2019-08-13,2019-10-31,79,author_revision
pone.0226999,1,2019-11-26,2019-12-06,10,author_revision
pone.0227001,0,2019-10-29,2019-12-03,35,author_revision
pone.0227002,0,2019-11-18,2019-12-04,16,author_revision
pone.0227010,0,2019-10-30,2019-11-15,16,author_revision
pone.0227019,0,2019-10-18,2019-12-02,45,author_revision
pone.0227022,0,2019-11-15,2019-12-05,20,author_revision
pone.0227026,0,2019-09-03,2019-11-28,86,author_revision
pone.0227027,0,2019-08-23,2019-09-18,26,author_revision
pone.0227031,0,2019-12-03,2019-12-08,5,author_revision
pone.0227033,0,2019-11-25,2019-12-03,8,author_revision
pone.0227037,0,2019-10-15,2019-11-15,31,author_revision
pone.0227040,0,2019-09-16,2019-11-13,58,author_revision
pone.0227041,0,2019-10-15,2019-11-05,21,author_revision
pone.0227045,0,2019-07-21,2019-10-04,75,author_revision
pone.0227045,1,2019-10-16,2019-12-10,55,author_revision
pone.0227046,0,2019-11-07,2019-11-19,12,author_revision
pone.0227051,0,2019-09-10,2019-11-22,73,author_revision
pone.0227055,0,2019-12-02,2019-12-05,3,author_revision
pone.0227061,0,2019-11-19,2019-12-03,14,author_revision
pone.0227061,1,2019-12-06,2019-12-08,2,author_revision
pone.0227064,0,2019-11-19,2019-11-21,2,author_revision
pone.0227065,0,2019-09-24,2019-10-22,28,author_revision
pone.0227069,0,2019-10-15,2019-11-25,41,author_revision
pone.0227070,0,2019-11-12,2019-11-19,7,author_revision
pone.0227071,0,2019-10-21,2019-11-29,39,author_revision
pone.0227073,0,2019-10-30,2019-11-23,24,author_revision
pone.0227076,0,2019-10-07,2019-11-11,35,author_revision
pone.0227076,1,2019-11-27,2019-12-06,9,author_revision
pone.0227082,0,2019-10-10,2019-10-30,20,author_revision
pone.0227083,0,2020-01-10,2020-01-23,13,author_revision
pone.0227084,0,2020-02-26,2020-04-15,49,author_revision
