pmid,pmc,publisher-id,doi,File,other,pii
16790564,PMC1484250,,10.1093/nar/gkl391,PMC001xxxxxx/PMC1484250.xml,,
16790565,PMC1484251,,10.1093/nar/gkl413,PMC001xxxxxx/PMC1484251.xml,,
16790566,PMC1484252,,10.1093/nar/gkl415,PMC001xxxxxx/PMC1484252.xml,,
16790567,PMC1484253,,10.1093/nar/gkl408,PMC001xxxxxx/PMC1484253.xml,,
16822854,PMC1488881,,10.1093/nar/gkl261,PMC001xxxxxx/PMC1488881.xml,,
16822860,PMC1488882,,10.1093/nar/gkl432,PMC001xxxxxx/PMC1488882.xml,,
16822855,PMC1488883,,10.1093/nar/gkl437,PMC001xxxxxx/PMC1488883.xml,,
16822858,PMC1488884,,10.1093/nar/gkl422,PMC001xxxxxx/PMC1488884.xml,,
16822859,PMC1488885,,10.1093/nar/gkl418,PMC001xxxxxx/PMC1488885.xml,,
16822856,PMC1488886,,10.1093/nar/gkl455,PMC001xxxxxx/PMC1488886.xml,,
16822857,PMC1488887,,10.1093/nar/gkl439,PMC001xxxxxx/PMC1488887.xml,,
16820533,PMC1500867,,10.1093/nar/gkl428,PMC001xxxxxx/PMC1500867.xml,,
16820529,PMC1500868,,10.1093/nar/gkl401,PMC001xxxxxx/PMC1500868.xml,,
16820532,PMC1500869,,10.1093/nar/gkl425,PMC001xxxxxx/PMC1500869.xml,,
16798913,PMC1500870,,10.1093/nar/gkl431,PMC001xxxxxx/PMC1500870.xml,,
16820531,PMC1500871,,10.1093/nar/gkl412,PMC001xxxxxx/PMC1500871.xml,,
16820530,PMC1500872,,10.1093/nar/gkl417,PMC001xxxxxx/PMC1500872.xml,,
16835308,PMC1500873,,10.1093/nar/gkl433,PMC001xxxxxx/PMC1500873.xml,,
16835307,PMC1500874,,10.1093/nar/gkl442,PMC001xxxxxx/PMC1500874.xml,,
16951723,PMC1513141,,10.1093/ecam/nel029,PMC001xxxxxx/PMC1513141.xml,,
16951722,PMC1513142,,10.1093/ecam/nel017,PMC001xxxxxx/PMC1513142.xml,,
,PMC1513143,,10.1093/ecam/nel005,PMC001xxxxxx/PMC1513143.xml,,
16951721,PMC1513144,,10.1093/ecam/nel026,PMC001xxxxxx/PMC1513144.xml,,
16951715,PMC1513145,,10.1093/ecam/nel047,PMC001xxxxxx/PMC1513145.xml,,
16951716,PMC1513146,,10.1093/ecam/nel015,PMC001xxxxxx/PMC1513146.xml,,
16951712,PMC1513147,,10.1093/ecam/nel048,PMC001xxxxxx/PMC1513147.xml,,
16951719,PMC1513148,,10.1093/ecam/nel024,PMC001xxxxxx/PMC1513148.xml,,
16951713,PMC1513149,,10.1093/ecam/nel045,PMC001xxxxxx/PMC1513149.xml,,
16951718,PMC1513150,,10.1093/ecam/nel019,PMC001xxxxxx/PMC1513150.xml,,
16951717,PMC1513151,,10.1093/ecam/nel028,PMC001xxxxxx/PMC1513151.xml,,
,PMC1513152,,10.1093/ecam/nel013,PMC001xxxxxx/PMC1513152.xml,,
16951720,PMC1513153,,10.1093/ecam/nel025,PMC001xxxxxx/PMC1513153.xml,,
16951714,PMC1513154,,10.1093/ecam/nel022,PMC001xxxxxx/PMC1513154.xml,,
16840526,PMC1513344,,10.1093/nar/gkl411,PMC001xxxxxx/PMC1513344.xml,,
16431930,PMC1513541,200512153,10.1083/jcb.200512153,PMC001xxxxxx/PMC1513541.xml,,
16855286,PMC1524900,,10.1093/nar/gkl491,PMC001xxxxxx/PMC1524900.xml,,
16840530,PMC1524901,,10.1093/nar/gkl423,PMC001xxxxxx/PMC1524901.xml,,
16855288,PMC1524902,,10.1093/nar/gkl456,PMC001xxxxxx/PMC1524902.xml,,
16840528,PMC1524903,,10.1093/nar/gkl444,PMC001xxxxxx/PMC1524903.xml,,
16870723,PMC1524904,,10.1093/nar/gkl453,PMC001xxxxxx/PMC1524904.xml,,
16855295,PMC1524905,,10.1093/nar/gkl372,PMC001xxxxxx/PMC1524905.xml,,
16855291,PMC1524906,,10.1093/nar/gkl486,PMC001xxxxxx/PMC1524906.xml,,
16835309,PMC1524907,,10.1093/nar/gkl393,PMC001xxxxxx/PMC1524907.xml,,
16855287,PMC1524908,,10.1093/nar/gkl498,PMC001xxxxxx/PMC1524908.xml,,
16855290,PMC1524909,,10.1093/nar/gkl471,PMC001xxxxxx/PMC1524909.xml,,
16855285,PMC1524910,,10.1093/nar/gkl390,PMC001xxxxxx/PMC1524910.xml,,
16855289,PMC1524911,,10.1093/nar/gkl492,PMC001xxxxxx/PMC1524911.xml,,
16840532,PMC1524912,,10.1093/nar/gkl436,PMC001xxxxxx/PMC1524912.xml,,
16840529,PMC1524913,,10.1093/nar/gkl400,PMC001xxxxxx/PMC1524913.xml,,
16855293,PMC1524914,,10.1093/nar/gkl445,PMC001xxxxxx/PMC1524914.xml,,
16855281,PMC1524915,,10.1093/nar/gkl463,PMC001xxxxxx/PMC1524915.xml,,
16855292,PMC1524916,,10.1093/nar/gkl487,PMC001xxxxxx/PMC1524916.xml,,
16840527,PMC1524917,,10.1093/nar/gkl404,PMC001xxxxxx/PMC1524917.xml,,
16855284,PMC1524918,,10.1093/nar/gkl449,PMC001xxxxxx/PMC1524918.xml,,
16855282,PMC1524919,,10.1093/nar/gkl485,PMC001xxxxxx/PMC1524919.xml,,
16849434,PMC1524920,,10.1093/nar/gkl473,PMC001xxxxxx/PMC1524920.xml,,
16855283,PMC1524921,,10.1093/nar/gkl461,PMC001xxxxxx/PMC1524921.xml,,
16855296,PMC1524922,,10.1093/nar/gkl494,PMC001xxxxxx/PMC1524922.xml,,
16855294,PMC1524923,,10.1093/nar/gkl482,PMC001xxxxxx/PMC1524923.xml,,
16840531,PMC1524924,,10.1093/nar/gkl426,PMC001xxxxxx/PMC1524924.xml,,
15452142,PMC1534123,200403036,10.1083/jcb.200403036,PMC001xxxxxx/PMC1534123.xml,,
16845109,PMC1538781,,10.1093/nar/gkl265,PMC001xxxxxx/PMC1538781.xml,,
16845050,PMC1538796,,10.1093/nar/gkl255,PMC001xxxxxx/PMC1538796.xml,,
16844970,PMC1538806,,10.1093/nar/gkl171,PMC001xxxxxx/PMC1538806.xml,,
16845043,PMC1538822,,10.1093/nar/gkl200,PMC001xxxxxx/PMC1538822.xml,,
16844994,PMC1538830,,10.1093/nar/gkl343,PMC001xxxxxx/PMC1538830.xml,,
16845007,PMC1538838,,10.1093/nar/gkl242,PMC001xxxxxx/PMC1538838.xml,,
,PMC1538845,,10.1093/nar/gkl385,PMC001xxxxxx/PMC1538845.xml,,
16845011,PMC1538851,,10.1093/nar/gkl340,PMC001xxxxxx/PMC1538851.xml,,
16845014,PMC1538876,,10.1093/nar/gkl379,PMC001xxxxxx/PMC1538876.xml,,
16845064,PMC1538886,,10.1093/nar/gkl212,PMC001xxxxxx/PMC1538886.xml,,
16845117,PMC1538888,,10.1093/nar/gkl264,PMC001xxxxxx/PMC1538888.xml,,
16845009,PMC1538908,,10.1093/nar/gkl237,PMC001xxxxxx/PMC1538908.xml,,
15795236,PMC1538971,20041869,10.1084/jem.20041869,PMC001xxxxxx/PMC1538971.xml,,
16798914,PMC1538984,,10.1093/nar/gkl441,PMC001xxxxxx/PMC1538984.xml,,
16885238,PMC1540718,,10.1093/nar/gkl395,PMC001xxxxxx/PMC1540718.xml,,
16877568,PMC1540719,,10.1093/nar/gkl421,PMC001xxxxxx/PMC1540719.xml,,
16893953,PMC1540720,,10.1093/nar/gkl438,PMC001xxxxxx/PMC1540720.xml,,
16893954,PMC1540721,,10.1093/nar/gkl454,PMC001xxxxxx/PMC1540721.xml,,
16896014,PMC1540722,,10.1093/nar/gkl459,PMC001xxxxxx/PMC1540722.xml,,
16977698,PMC1540723,,10.1093/nar/gkl467,PMC001xxxxxx/PMC1540723.xml,,
16916790,PMC1540724,,10.1093/nar/gkl469,PMC001xxxxxx/PMC1540724.xml,,
16916793,PMC1540725,,10.1093/nar/gkl476,PMC001xxxxxx/PMC1540725.xml,,
16893952,PMC1540726,,10.1093/nar/gkl479,PMC001xxxxxx/PMC1540726.xml,,
16877569,PMC1540727,,10.1093/nar/gkl484,PMC001xxxxxx/PMC1540727.xml,,
16885237,PMC1540728,,10.1093/nar/gkl488,PMC001xxxxxx/PMC1540728.xml,,
16870719,PMC1540729,,10.1093/nar/gkl495,PMC001xxxxxx/PMC1540729.xml,,
16885239,PMC1540730,,10.1093/nar/gkl496,PMC001xxxxxx/PMC1540730.xml,,
16896013,PMC1540731,,10.1093/nar/gkl497,PMC001xxxxxx/PMC1540731.xml,,
16885235,PMC1540732,,10.1093/nar/gkl509,PMC001xxxxxx/PMC1540732.xml,,
16885241,PMC1540733,,10.1093/nar/gkl510,PMC001xxxxxx/PMC1540733.xml,,
16870720,PMC1540734,,10.1093/nar/gkl512,PMC001xxxxxx/PMC1540734.xml,,
16885240,PMC1540735,,10.1093/nar/gkl513,PMC001xxxxxx/PMC1540735.xml,,
16877567,PMC1540736,,10.1093/nar/gkl515,PMC001xxxxxx/PMC1540736.xml,,
16885236,PMC1540737,,10.1093/nar/gkl516,PMC001xxxxxx/PMC1540737.xml,,
16916792,PMC1540738,,10.1093/nar/gkl517,PMC001xxxxxx/PMC1540738.xml,,
16870721,PMC1540739,,10.1093/nar/gkl518,PMC001xxxxxx/PMC1540739.xml,,
16893950,PMC1540740,,10.1093/nar/gkl527,PMC001xxxxxx/PMC1540740.xml,,
16916791,PMC1540741,,10.1093/nar/gkl532,PMC001xxxxxx/PMC1540741.xml,,
16893951,PMC1540742,,10.1093/nar/gkl547,PMC001xxxxxx/PMC1540742.xml,,
16893960,PMC1557788,,10.1093/nar/gkl334,PMC001xxxxxx/PMC1557788.xml,,
16893958,PMC1557789,,10.1093/nar/gkl470,PMC001xxxxxx/PMC1557789.xml,,
16893957,PMC1557790,,10.1093/nar/gkl490,PMC001xxxxxx/PMC1557790.xml,,
16893955,PMC1557791,,10.1093/nar/gkl503,PMC001xxxxxx/PMC1557791.xml,,
16893959,PMC1557792,,10.1093/nar/gkl545,PMC001xxxxxx/PMC1557792.xml,,
16893956,PMC1557793,,10.1093/nar/gkl554,PMC001xxxxxx/PMC1557793.xml,,
16899452,PMC1557800,,10.1093/nar/gkl316,PMC001xxxxxx/PMC1557800.xml,,
16899451,PMC1557801,,10.1093/nar/gkl448,PMC001xxxxxx/PMC1557801.xml,,
16914454,PMC1557802,,10.1093/nar/gkl466,PMC001xxxxxx/PMC1557802.xml,,
16914453,PMC1557803,,10.1093/nar/gkl474,PMC001xxxxxx/PMC1557803.xml,,
16899450,PMC1557804,,10.1093/nar/gkl475,PMC001xxxxxx/PMC1557804.xml,,
16914443,PMC1557805,,10.1093/nar/gkl505,PMC001xxxxxx/PMC1557805.xml,,
16899449,PMC1557806,,10.1093/nar/gkl506,PMC001xxxxxx/PMC1557806.xml,,
16914452,PMC1557807,,10.1093/nar/gkl507,PMC001xxxxxx/PMC1557807.xml,,
16899448,PMC1557808,,10.1093/nar/gkl520,PMC001xxxxxx/PMC1557808.xml,,
,PMC1557809,,10.1093/nar/gkl523,PMC001xxxxxx/PMC1557809.xml,,
16899447,PMC1557810,,10.1093/nar/gkl525,PMC001xxxxxx/PMC1557810.xml,,
16914419,PMC1557811,,10.1093/nar/gkl529,PMC001xxxxxx/PMC1557811.xml,,
16899446,PMC1557812,,10.1093/nar/gkl536,PMC001xxxxxx/PMC1557812.xml,,
16914451,PMC1557813,,10.1093/nar/gkl537,PMC001xxxxxx/PMC1557813.xml,,
16914450,PMC1557814,,10.1093/nar/gkl539,PMC001xxxxxx/PMC1557814.xml,,
16914442,PMC1557815,,10.1093/nar/gkl541,PMC001xxxxxx/PMC1557815.xml,,
16914441,PMC1557816,,10.1093/nar/gkl543,PMC001xxxxxx/PMC1557816.xml,,
16914449,PMC1557817,,10.1093/nar/gkl549,PMC001xxxxxx/PMC1557817.xml,,
16914448,PMC1557818,,10.1093/nar/gkl556,PMC001xxxxxx/PMC1557818.xml,,
16914440,PMC1557819,,10.1093/nar/gkl559,PMC001xxxxxx/PMC1557819.xml,,
16914447,PMC1557820,,10.1093/nar/gkl560,PMC001xxxxxx/PMC1557820.xml,,
