pmid,pmc,doi,File,publisher-id,pii,other
15357879,PMC520757,10.1186/1471-2105-5-128,PMC000xxxxxx/PMC520757.xml,1471-2105-5-128,,
15369603,PMC520810,10.1186/1471-2121-5-34,PMC000xxxxxx/PMC520810.xml,1471-2121-5-34,,
15367329,PMC520811,10.1186/1471-2253-4-6,PMC000xxxxxx/PMC520811.xml,1471-2253-4-6,,
15363107,PMC520812,10.1186/1471-2415-4-12,PMC000xxxxxx/PMC520812.xml,1471-2415-4-12,,
15383143,PMC520813,10.1186/1471-2105-5-134,PMC000xxxxxx/PMC520813.xml,1471-2105-5-134,,
15380028,PMC520814,10.1186/1471-2164-5-70,PMC000xxxxxx/PMC520814.xml,1471-2164-5-70,,
15355551,PMC520815,10.1186/1471-2148-4-30,PMC000xxxxxx/PMC520815.xml,1471-2148-4-30,,
15353005,PMC520816,10.1186/1471-2407-4-61,PMC000xxxxxx/PMC520816.xml,1471-2407-4-61,,
15357871,PMC520817,10.1186/1472-684X-3-4,PMC000xxxxxx/PMC520817.xml,1472-684X-3-4,,
15363102,PMC520818,10.1186/1472-6874-4-6,PMC000xxxxxx/PMC520818.xml,1472-6874-4-6,,
15380023,PMC520819,10.1186/1472-6920-4-15,PMC000xxxxxx/PMC520819.xml,1472-6920-4-15,,
15363096,PMC520820,10.1186/1471-2164-5-65,PMC000xxxxxx/PMC520820.xml,1471-2164-5-65,,
15345061,PMC520821,10.1186/1477-7827-2-62,PMC000xxxxxx/PMC520821.xml,1477-7827-2-62,,
15377396,PMC520822,10.1186/1465-9921-5-11,PMC000xxxxxx/PMC520822.xml,1465-9921-5-11,,
15357870,PMC520823,10.1186/1476-7120-2-16,PMC000xxxxxx/PMC520823.xml,1476-7120-2-16,,
15363112,PMC520824,10.1186/1478-4505-2-7,PMC000xxxxxx/PMC520824.xml,1478-4505-2-7,,
15383145,PMC520825,10.1186/1479-5876-2-32,PMC000xxxxxx/PMC520825.xml,1479-5876-2-32,,
15347422,PMC520826,10.1186/1740-3391-2-5,PMC000xxxxxx/PMC520826.xml,1740-3391-2-5,,
15350206,PMC520827,10.1186/1475-2875-3-32,PMC000xxxxxx/PMC520827.xml,1475-2875-3-32,,
15377395,PMC520828,10.1186/1465-9921-5-12,PMC000xxxxxx/PMC520828.xml,1465-9921-5-12,,
15361254,PMC520829,10.1186/1475-925X-3-30,PMC000xxxxxx/PMC520829.xml,1475-925X-3-30,,
15380022,PMC520830,10.1186/1477-5751-3-3,PMC000xxxxxx/PMC520830.xml,1477-5751-3-3,,
15377383,PMC520831,10.1186/1477-7800-1-6,PMC000xxxxxx/PMC520831.xml,1477-7800-1-6,,
15352998,PMC520832,10.1186/1477-7827-2-65,PMC000xxxxxx/PMC520832.xml,1477-7827-2-65,,
15373944,PMC520833,10.1186/1477-7827-2-66,PMC000xxxxxx/PMC520833.xml,1477-7827-2-66,,
15373943,PMC520834,10.1186/1742-4690-1-27,PMC000xxxxxx/PMC520834.xml,1742-4690-1-27,,
15357878,PMC521067,10.1186/1471-2105-5-129,PMC000xxxxxx/PMC521067.xml,1471-2105-5-129,,
15353003,PMC521068,10.1186/1472-6963-4-24,PMC000xxxxxx/PMC521068.xml,1472-6963-4-24,,
15357875,PMC521069,10.1186/1471-2164-5-64,PMC000xxxxxx/PMC521069.xml,1471-2164-5-64,,
15369602,PMC521070,10.1186/1471-2164-5-66,PMC000xxxxxx/PMC521070.xml,1471-2164-5-66,,
15333134,PMC521071,10.1186/1472-6793-4-12,PMC000xxxxxx/PMC521071.xml,1472-6793-4-12,,
15377391,PMC521072,10.1186/1471-2202-5-34,PMC000xxxxxx/PMC521072.xml,1471-2202-5-34,,
15367335,PMC521073,10.1186/1471-2334-4-35,PMC000xxxxxx/PMC521073.xml,1471-2334-4-35,,
15357872,PMC521074,10.1186/1472-6750-4-21,PMC000xxxxxx/PMC521074.xml,1472-6750-4-21,,
15380029,PMC521075,10.1186/1471-2164-5-69,PMC000xxxxxx/PMC521075.xml,1471-2164-5-69,,
15380026,PMC521076,10.1186/1471-2296-5-20,PMC000xxxxxx/PMC521076.xml,1471-2296-5-20,,
15380025,PMC521077,10.1186/1471-2334-4-36,PMC000xxxxxx/PMC521077.xml,1471-2334-4-36,,
15383149,PMC521078,10.1186/1471-2334-4-38,PMC000xxxxxx/PMC521078.xml,1471-2334-4-38,,
15369597,PMC521079,10.1186/1471-2393-4-19,PMC000xxxxxx/PMC521079.xml,1471-2393-4-19,,
15369590,PMC521080,10.1186/1741-7015-2-34,PMC000xxxxxx/PMC521080.xml,1741-7015-2-34,,
15363105,PMC521081,10.1186/1471-244X-4-27,PMC000xxxxxx/PMC521081.xml,1471-244X-4-27,,
15369595,PMC521082,10.1186/1472-6947-4-16,PMC000xxxxxx/PMC521082.xml,1472-6947-4-16,,
15350201,PMC521083,10.1186/1477-7819-2-30,PMC000xxxxxx/PMC521083.xml,1477-7819-2-30,,
15363098,PMC521084,10.1186/1476-069X-3-8,PMC000xxxxxx/PMC521084.xml,1476-069X-3-8,,
15353001,PMC521085,10.1186/1476-4598-3-24,PMC000xxxxxx/PMC521085.xml,1476-4598-3-24,,
15363109,PMC521086,10.1186/1742-4690-1-26,PMC000xxxxxx/PMC521086.xml,1742-4690-1-26,,
