pmid,pmc,doi,File,publisher-id,sici,pii,other,medline,manuscript
15762985,PMC1274250,10.1186/1471-2105-6-53,PMC001xxxxxx/PMC1274250.xml,1471-2105-6-53,,,,,
15766384,PMC1274251,10.1186/1471-2105-6-54,PMC001xxxxxx/PMC1274251.xml,1471-2105-6-54,,,,,
15766383,PMC1274252,10.1186/1471-2105-6-55,PMC001xxxxxx/PMC1274252.xml,1471-2105-6-55,,,,,
15769290,PMC1274253,10.1186/1471-2105-6-56,PMC001xxxxxx/PMC1274253.xml,1471-2105-6-56,,,,,
15774008,PMC1274254,10.1186/1471-2105-6-57,PMC001xxxxxx/PMC1274254.xml,1471-2105-6-57,,,,,
15774002,PMC1274255,10.1186/1471-2105-6-58,PMC001xxxxxx/PMC1274255.xml,1471-2105-6-58,,,,,
15774022,PMC1274256,10.1186/1471-2105-6-60,PMC001xxxxxx/PMC1274256.xml,1471-2105-6-60,,,,,
15777482,PMC1274257,10.1186/1471-2105-6-61,PMC001xxxxxx/PMC1274257.xml,1471-2105-6-61,,,,,
15780134,PMC1274258,10.1186/1471-2105-6-62,PMC001xxxxxx/PMC1274258.xml,1471-2105-6-62,,,,,
15780146,PMC1274259,10.1186/1471-2105-6-64,PMC001xxxxxx/PMC1274259.xml,1471-2105-6-64,,,,,
15784152,PMC1274260,10.1186/1471-2105-6-65,PMC001xxxxxx/PMC1274260.xml,1471-2105-6-65,,,,,
15784140,PMC1274261,10.1186/1471-2105-6-67,PMC001xxxxxx/PMC1274261.xml,1471-2105-6-67,,,,,
15788095,PMC1274262,10.1186/1471-2105-6-68,PMC001xxxxxx/PMC1274262.xml,1471-2105-6-68,,,,,
15788106,PMC1274263,10.1186/1471-2105-6-69,PMC001xxxxxx/PMC1274263.xml,1471-2105-6-69,,,,,
15790418,PMC1274264,10.1186/1471-2105-6-71,PMC001xxxxxx/PMC1274264.xml,1471-2105-6-71,,,,,
15790402,PMC1274265,10.1186/1471-2105-6-72,PMC001xxxxxx/PMC1274265.xml,1471-2105-6-72,,,,,
15790421,PMC1274266,10.1186/1471-2105-6-75,PMC001xxxxxx/PMC1274266.xml,1471-2105-6-75,,,,,
15796777,PMC1274267,10.1186/1471-2105-6-78,PMC001xxxxxx/PMC1274267.xml,1471-2105-6-78,,,,,
15807904,PMC1274268,10.1186/1471-2105-6-85,PMC001xxxxxx/PMC1274268.xml,1471-2105-6-85,,,,,
15780144,PMC1274269,10.1186/1471-2334-5-15,PMC001xxxxxx/PMC1274269.xml,1471-2334-5-15,,,,,
15752423,PMC1274270,10.1186/1471-2334-5-10,PMC001xxxxxx/PMC1274270.xml,1471-2334-5-10,,,,,
15769289,PMC1274271,10.1186/1471-2334-5-13,PMC001xxxxxx/PMC1274271.xml,1471-2334-5-13,,,,,
15780136,PMC1274272,10.1186/1471-2334-5-16,PMC001xxxxxx/PMC1274272.xml,1471-2334-5-16,,,,,
15784148,PMC1274273,10.1186/1471-2334-5-17,PMC001xxxxxx/PMC1274273.xml,1471-2334-5-17,,,,,
